url,positions,positions_top10,positions_top3,traffic,traffic_top10,traffic_top3,cost,cost_top10,cost_top3,rank
aclu.org,525593,60600,16555,362485,45272,13223,634431.8827,575687.3533,364150.2501,54
acpeds.org,6591,489,137,4428,310,60,4418.181061,3760.573843,1781.627213,48
acsh.org,33920,1452,216,27037,1191,164,6551.359446,4557.377295,1621.196217,38
acting-man.com,0,0,0,0,0,0,0,0,0,43
actionnews5.com,339277,24613,6719,245175,19064,5169,268637.0742,234909.3445,147807.6317,26
actionnewsjax.com,230351,10685,2614,181009,8502,2054,92922.66922,73126.9825,36391.4661,40
actionnewsnow.com,43071,2486,761,29513,1643,459,19714.39167,16966.75948,11152.29491,31
activistmommy.com,8,0,0,8,0,0,0.000607028,0,0,41
activistpost.com,1011,46,42,854,8,4,1453.213288,1441.060047,1432.474,40
acton.org,31244,1550,650,22111,856,257,7498.276135,5681.870724,2959.259142,48
ad.nl,4056117,580766,164118,2360008,419187,130247,10142638.76,9500583.759,7227291.435,53
adaderana.lk,76891,6790,2470,44629,3943,1148,149094.634,136459.0065,99404.99513,33
additudemag.com,502476,86971,24380,244946,40883,12760,872033.767,785052.6357,409913.9427,44
adelaidenow.com.au,773025,36466,11865,526741,23472,7201,441784.4838,406096.6159,335990.5033,38
adflegal.org,24646,3025,1097,17017,1758,592,33429.68048,30600.76124,22458.69783,82
adfontesmedia.com,11844,2745,1391,8238,2073,1041,46746.74552,45886.57183,42650.66712,76
adl.org,255057,36608,14331,147850,20413,8770,686713.7445,643723.2631,483965.0878,53
adn.com,193808,11311,2820,145546,8887,2185,166886.4352,153598.8451,122609.4797,40
adobochronicles.com,6453,316,84,4570,245,65,2105.166092,1535.318495,691.0538333,33
advocate.com,342934,29600,8828,211715,20717,6354,425717.5201,370082.5341,245610.3927,44
adweek.com,680603,38149,9289,461247,29656,6977,207458.7556,163643.5612,90537.145,52
ae911truth.org,1652,157,99,674,44,17,536.5600557,515.871916,464.0879667,42
aei.org,183243,6839,1700,134902,5419,1242,47153.96274,37143.02689,21566.46543,44
aeon.co,173176,7906,1775,111740,4739,695,154990.1441,143397.604,116578.3829,82
afa.net,11344,830,247,8792,618,166,6511.354317,5294.260187,3861.270334,47
affinitymagazine.us,17291,499,65,12650,442,63,2005.807129,1318.692397,461.191175,35
afj.org,14030,1723,419,10232,1436,369,16059.9494,14400.73154,5526.49449,52
afn.net,2718,114,69,2408,69,28,6576.554573,6293.095113,6213.004899,83
afp.com,361516,24620,6256,241497,17016,3986,230160.9547,194564.6514,107846.1818,46
afpc.org,1749,85,29,1119,56,23,352.8330138,287.8474742,166.7382194,28
afr.com,1656434,121954,23308,1006271,95031,19443,916916.9381,760349.9596,388590.676,49
